city,date,price_local,currency,hpi,income,median_multiple,country,rate,monthly_payment,mdsr
New York,2023-01,589541.1640945231,USD,274.769984312034,80980.93424657534,7.279999540378908,USA,6.2725,3638.53785762846,0.5391695551275761
New York,2023-02,589859.3857039672,USD,274.918299225326,81200.82191780822,7.264204619763887,USA,6.2575,3634.74344147184,0.5371487660779012
New York,2023-03,593167.7681705906,USD,276.460251261616,81399.4301369863,7.287124334560506,USA,6.544,3766.404505835884,0.5552477946586268
New York,2023-04,597134.7650129052,USD,278.309166530837,81619.31780821917,7.316096005800884,USA,6.342499999999999,3712.660336737593,0.5458502378754834
New York,2023-05,603985.2197709911,USD,281.501987424524,81832.11232876712,7.380784909283921,USA,6.425,3787.85544708711,0.5554575590378156
New York,2023-06,608703.378267412,USD,283.700999834513,82052.0,7.418507510693365,USA,6.714,3933.483267792995,0.5752668943294001
New York,2023-07,614505.3457995057,USD,286.40514778018,82356.59016393442,7.461520014079088,USA,6.84,4022.5019453117534,0.5861100277179693
New York,2023-08,621013.778963102,USD,289.438561199248,82671.33333333333,7.51183939974883,USA,7.072,4161.692764129562,0.6040825901306549
New York,2023-09,627515.788885731,USD,292.46898091079,82986.07650273223,7.561699689044471,USA,7.2,4259.503187503088,0.6159351110948615
New York,2023-10,632235.5423603836,USD,294.668736699139,83290.66666666667,7.590712953356721,USA,7.62,4472.749199649171,0.6444058205295917
New York,2023-11,635445.2752617786,USD,296.164710708548,83605.40983606558,7.600528201557373,USA,7.442,4417.9157945908,0.6341095586881517
New York,2023-12,637988.9216099251,USD,297.350238895115,83910.0,7.603252551661603,USA,6.815,4165.587057799424,0.5957221391204037
New York,2024-01,640000.0000000001,USD,298.287550844383,84224.7431693989,7.59871714553983,USA,6.6425,4105.398485864322,0.5849205349464464
New York,2024-02,646714.3416837911,USD,301.416932932493,84539.48633879781,7.64984943357757,USA,6.776000000000001,4205.760023408364,0.5969887264117254
New York,2024-03,650801.6594092252,USD,303.321926672872,84833.92349726777,7.671478962424572,USA,6.82,4251.413698686894,0.6013745714105257
New York,2024-04,655414.7257415043,USD,305.471958326213,85148.66666666667,7.697298752865627,USA,6.9925,4357.189716478464,0.6140586652099649
New York,2024-05,661860.7090299698,USD,308.476265463557,85453.2568306011,7.745295306204821,USA,7.06,4430.078229240925,0.6221054728935035
New York,2024-06,664694.0942815554,USD,309.796833506204,85768.0,7.749907824381534,USA,6.9175,4385.459376180959,0.61357980265567
New York,2024-07,668792.4108871485,USD,311.706953541934,85768.0,7.7976915736305905,USA,6.8475,4381.207907857321,0.6129849698522508
New York,2024-08,671750.5556004728,USD,313.085668763154,85768.0,7.832181648172662,USA,6.5,4245.920459586921,0.5940565888798043
New York,2024-09,676081.6003621994,USD,315.104257410924,85768.0,7.882678858807473,USA,6.18,4132.0198123117,0.5781204848864424
New York,2024-10,679841.2790923088,USD,316.856547036496,85768.0,7.926514307111146,USA,6.428,4264.918945938498,0.5967147112123633
New York,2024-11,683541.7674677456,USD,318.581249559054,85768.0,7.969659633753213,USA,6.805,4458.457770940547,0.623793177540418
New York,2024-12,686573.9761089517,USD,319.994484073483,85768.0,8.00501324630342,USA,6.715,4437.144148693044,0.6208111391698131
Toronto,2019-01,760000.0,CAD,238.6,,,Canada,4.59,4263.24454108606,
Toronto,2019-02,753900.0,CAD,236.7,,,Canada,4.52,4198.983963029617,
Toronto,2019-03,752700.0,CAD,236.3,,,Canada,4.44,4158.1583226436705,
Toronto,2019-04,756200.0,CAD,237.4,,,Canada,4.33,4130.571700312896,
Toronto,2019-05,759500.0,CAD,238.5,,,Canada,4.3,4135.793521108068,
Toronto,2019-06,767900.0,CAD,241.1,93000.0,8.256989247311829,Canada,4.23,4151.412222758113,0.5356660932591113
Toronto,2019-07,774000.0,CAD,243.0,93163.9344262295,8.307935949322541,Canada,4.14,4145.525453221016,0.5339652704131239
Toronto,2019-08,779600.0,CAD,244.8,93333.33333333331,8.352857142857143,Canada,4.08,4149.5307514371025,0.533511096613342
Toronto,2019-09,785000.0,CAD,246.5,93502.73224043717,8.395476594003858,Canada,4.07,4173.920206507839,0.5356746404939053
Toronto,2019-10,793300.0,CAD,249.1,93666.66666666669,8.469395017793595,Canada,4.09,4226.852231602715,0.5415184353654722
Toronto,2019-11,798300.0,CAD,250.6,93836.0655737705,8.507389937106918,Canada,4.09,4253.493175959218,0.543947764640487
Toronto,2019-12,801500.0,CAD,251.6,94000.0,8.52659574468085,Canada,4.08,4266.096584500819,0.5446080746171258
Toronto,2020-01,804900.0,CAD,252.7,94169.39890710382,8.54736261823246,Canada,4.08,4284.19356314998,0.5459344899133846
Toronto,2020-02,813700.0,CAD,255.5,94338.79781420765,8.625295412418907,Canada,4.08,4331.032802006633,0.5509121891338372
Toronto,2020-03,817900.0,CAD,256.8,94497.26775956283,8.655276701555541,Canada,3.9,4272.14502917733,0.5425102922612282
Toronto,2020-04,806400.0,CAD,253.2,94666.66666666669,8.518309859154929,Canada,3.95,4234.244994041564,0.5367352809348459
Toronto,2020-05,811700.0,CAD,254.9,94830.60109289618,8.559473320271984,Canada,3.86,4221.955480863979,0.5342522897301658
Toronto,2020-06,831200.0,CAD,261.0,95000.0,8.749473684210527,Canada,3.77,4282.511923109766,0.5409488744980757
Toronto,2020-07,850600.0,CAD,267.1,95139.72602739726,8.94053446984968,Canada,3.64,4322.437118929127,0.5451901912373891
Toronto,2020-08,870400.0,CAD,273.3,95284.1095890411,9.13478652163537,Canada,3.57,4390.172378331677,0.5528945882707733
Toronto,2020-09,877900.0,CAD,275.6,95428.49315068492,9.19955844439213,Canada,3.51,4399.684032462979,0.5532541345506597
Toronto,2020-10,886300.0,CAD,278.3,95568.2191780822,9.274003508932871,Canada,3.45,4413.295468293467,0.5541543629774723
Toronto,2020-11,900700.0,CAD,282.8,95712.60273972603,9.410463974627238,Canada,3.42,4470.5643149039615,0.5604985157987054
Toronto,2020-12,912800.0,CAD,286.6,95852.32876712328,9.522981984273756,Canada,3.34,4491.739636515609,0.5623324579744061
